session_id,student_id,duration_seconds,tab_switches,blur_events,fullscreen_exits,avg_blur_duration_ms,max_blur_duration_ms,total_idle_ms,typing_gaps_avg_sec,mouse_outside_count,copy_attempts,paste_attempts,devtools_attempts,screenshot_attempts,has_f12,has_alt_tab,has_win_d_p,has_prt_scr,has_f11_f5,has_escape,label
SES_00001,STU_6365,3600,1,5,0,22203,35863,120312,21.12,1,0,0,0,0,0,0,0,0,0,0,1
SES_00002,STU_4907,3600,0,0,0,0,0,76945,17.08,0,0,0,0,0,0,0,0,0,1,0,1
SES_00003,STU_5196,3600,0,0,0,0,0,2714,0.91,1,0,0,0,0,0,0,0,0,1,0,0
SES_00004,STU_8682,3600,0,1,0,127,880,5284,0.55,1,0,0,0,0,0,0,0,0,1,0,0
SES_00005,STU_7329,3600,0,1,0,287,971,13401,3.38,0,0,0,0,0,0,0,0,0,1,0,0
SES_00006,STU_8820,3600,0,0,0,0,0,14549,0.93,0,0,0,0,0,0,0,0,0,1,0,0
SES_00007,STU_9730,3600,0,1,0,500,500,24127,21.14,1,0,0,0,0,0,0,1,0,0,0,1
SES_00008,STU_5858,3600,3,5,0,3855,8619,24138,10.12,6,0,2,0,13,0,0,0,1,0,0,1
SES_00009,STU_8292,3600,1,3,1,25418,30469,145033,6.71,1,0,0,1,2,0,0,0,0,0,0,1
SES_00010,STU_2800,3600,0,1,0,310,447,14728,3.14,0,0,0,0,0,0,0,0,0,0,0,0
SES_00011,STU_7522,3600,1,1,0,566,618,26832,9.97,2,0,0,0,8,0,0,0,1,0,0,1
SES_00012,STU_3920,3600,0,1,0,591,2496,139143,13.0,0,4,7,0,0,0,0,0,0,0,0,1
SES_00013,STU_3545,3600,0,1,0,449,1161,3104,2.42,1,0,0,0,0,0,0,0,0,0,0,0
SES_00014,STU_5432,3600,3,3,0,8460,14340,93222,12.09,5,1,2,0,0,0,0,0,0,0,0,1
SES_00015,STU_6389,3600,12,12,0,1251,2030,91771,6.45,1,1,0,0,0,0,0,0,0,0,0,1
SES_00016,STU_5292,3600,0,0,0,0,0,121241,13.29,0,0,0,0,1,0,0,0,0,1,0,1
SES_00017,STU_5629,3600,0,1,0,480,976,9009,3.13,1,0,0,0,0,0,0,0,0,1,0,0
SES_00018,STU_5533,3600,0,1,0,910,1975,88459,9.02,0,0,0,1,11,0,0,0,1,0,0,1
SES_00019,STU_7427,3600,0,0,0,0,0,11739,1.9,1,0,0,0,0,0,0,0,1,0,0,0
SES_00020,STU_4987,3600,0,1,0,44,458,2760,1.67,0,0,0,0,0,0,0,0,1,0,0,0
